url	chapt_title	img_path
http://hutchdatascience.org/reproducibility_capstone/index.html	About this Course	./resources/chapt_screen_images/index.png
http://hutchdatascience.org/reproducibility_capstone/introduction.html	1 Introduction	./resources/chapt_screen_images/introduction.png
http://hutchdatascience.org/reproducibility_capstone/setting-up-for-this-course.html	2 Setting up for this course	./resources/chapt_screen_images/setting-up-for-this-course.png
http://hutchdatascience.org/reproducibility_capstone/building-a-docker-image.html	3 Building a Docker Image	./resources/chapt_screen_images/building-a-docker-image.png
http://hutchdatascience.org/reproducibility_capstone/making-a-github-secret.html	4 Making a GitHub Secret	./resources/chapt_screen_images/making-a-github-secret.png
http://hutchdatascience.org/reproducibility_capstone/building-a-github-action.html	5 Building a GitHub Action	./resources/chapt_screen_images/building-a-github-action.png
http://hutchdatascience.org/reproducibility_capstone/about-the-authors.html	About the Authors	./resources/chapt_screen_images/about-the-authors.png
http://hutchdatascience.org/reproducibility_capstone/references.html	6 References	./resources/chapt_screen_images/references.png
